relationship,politician_edu,politican_rel,mar_status,resp_caste_cat,resp_jati,caste_sc,wm_bef,wm_years,wm_familybefore,wm_familyyears,pol_infamily,self_emp,inc_sor,govt_empinfam,wm_train,wm_app,wm_app_use,wm_watersupply,wm_moneycol,whatsapp,whatsapp_number,whatsapp_self,message,wm_wagroup,join_interestyesno,join_interest,sc_group,scheme_noproblem,scheme_problem,citiprbrt,phone_mukhiya,phone_scret,phone_bpro,phone_lasttimebpro,phone_bdo,phone_lasttimebdo,interaction_gp,candidate_gp_count,interaction_block,candidate_block_count,interaction_samedist,candidate_samedist_count,interaction_outside,candidate_outside_count,acctrt,awasrt,schknwrt,schconfirt,polpref_self,pol_party_part,polpref_supportelec,t_dummy
Self,Std 10,Hindu,Married,SC,"SC/11/दुसाध, धारी, धारही",No,Yes,1,No,,No,Yes,Agri labor,No,No,No,,Nal Jal,Yes,No,,,,,Yes,Other GP but same block,,Nali gali,No work done,0,Yes,Yes,No,Didn't speak,No,Last 2-3 months,No,0,No,0,No,0,No,0,4,2,3,1,No,No,No,Spillover
Spouse,Std 9,Muslim,Married,GEN,शैख़ (मुस्लिम),No,No,,No,,No,Yes,NonAgri labor,No,Yes,No,,Nal Jal,No,Yes,WA number is different,Yes,"Yes, as i receive the message",Yes,Yes,Anyone,,No work done,No work done,0,Yes,Yes,Yes,Last 2-3 months,No,Didn't speak,Yes,2,No,0,No,0,No,0,0,2,2,0,Yes,No,No,Treatment
Self,Std 10,Hindu,Married,EBC,BC-1/113/बढई,No,No,,No,,No,No,NonAgri labor,No,No,No,,Nal Jal,Yes,No,,,,,Yes,same GP,,No work done,Nali gali,2,Yes,No,Yes,Didn't speak,No,Didn't speak,Yes,2,No,0,No,0,No,0,2,2,3,1,No,No,No,Spillover
Spouse,Std 10,Muslim,Married,EBC,BC-1/107/इदरीसी या दजी (मुस्लिम),No,Yes,1,No,,No,Yes,HH business,No,Yes,No,,Nal Jal,Yes,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Other GP but same block,,Nali gali,No work done,1,Yes,No,No,Didn't speak,No,Lst month,Yes,3,No,0,No,0,No,0,3,3,2,2,No,Yes,No,Spillover
Self,Std 10,Hindu,Married,SC,"SC/6/चमार, मोची",Yes,Yes,1,No,,No,Yes,NonAgri labor,No,Yes,Yes,No,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,same GP,2,Nal Jal,No work done,1,Yes,Yes,No,Didn't speak,Yes,Lst month,Yes,3,No,0,No,0,No,0,2,3,4,1,No,No,No,Control
Spouse,Undergrad,Muslim,Married,EBC,BC-1/98/राईन या कुंजरा (मुस्लिम),No,No,,No,,No,No,Service (govt),Yes,Yes,No,,PHED,,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,same GP,,No work done,Nali gali,0,Yes,Yes,No,Didn't speak,No,Last 6 months,Yes,3,Yes,1,Yes,1,No,0,3,2,2,1,Yes,No,No,Control
Spouse,Std 12,Hindu,Married,GEN,भूमिहार,No,No,,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,No,Yes,WA number is different,No,"Yes, as i receive the message",No,Yes,Anyone,,Nal Jal,Nali gali,1,Yes,Yes,No,Didn't speak,No,Last 2-3 months,Yes,1,No,0,No,0,No,0,0,1,0,0,Yes,Yes,No,Treatment
Self,Std 12,Hindu,Married,EBC,BC-1/64/मल्लाह,No,No,,No,,No,Yes,Do nothing,No,No,Yes,Yes,Nal Jal,No,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,Anyone,,No work done,Nali gali,3,Yes,Yes,No,Lst month,Yes,Last 2-3 months,Yes,2,Yes,1,No,1,No,0,4,2,1,2,No,No,No,Control
Self,Std 10,Hindu,Married,GEN,ब्राह्मण,No,Yes,1,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,No,No,,,,,Yes,Anyone,,Nal Jal,Nali gali,1,Yes,Yes,Yes,Last week,Yes,Last week,Yes,1,No,0,No,0,No,0,2,1,2,1,Yes,Yes,No,Treatment
Child,Std 12,Prefer not say,Married,SC,"SC/11/दुसाध, धारी, धारही",Yes,Yes,1,No,,No,Yes,Service (pvt),No,Yes,No,,PHED,,Yes,same number,Yes,"Yes, as i receive the message",Yes,Yes,Other GP but same block,2,No work done,No work done,1,Yes,Yes,No,Didn't speak,No,Didn't speak,Yes,1,No,0,No,0,No,0,2,2,0,0,Yes,Yes,No,Treatment
Spouse,Std 12,Hindu,Married,EBC,BC-1/6/कुर्मी (महतो) झारखंड स्वसशासी क्षेत्र,No,Yes,1,No,,No,Yes,Work on agri,No,No,No,,PHED,,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,,Nali gali,Nali gali,1,Yes,Yes,No,Didn't speak,Yes,Last 6 months,Yes,2,Yes,1,No,1,No,0,2,1,2,1,Yes,Yes,Yes,Spillover
